tool	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0
run set	[lira-convex-hull-pc.cra-monotone-svcomp; lira-convex-hull-pc.termination-monotone-svcomp]	[lira-convex-hull-pc.cra-monotone-svcomp; lira-convex-hull-pc.termination-monotone-svcomp]	[lira-convex-hull-pc.cra-monotone-svcomp; lira-convex-hull-pc.termination-monotone-svcomp]	[lira-convex-hull-pc.cra-monotone-svcomp; lira-convex-hull-pc.termination-monotone-svcomp]	[lira-convex-hull-pc-lplh.cra-monotone-svcomp; lira-convex-hull-pc-lplh.termination-monotone-svcomp]	[lira-convex-hull-pc-lplh.cra-monotone-svcomp; lira-convex-hull-pc-lplh.termination-monotone-svcomp]	[lira-convex-hull-pc-lplh.cra-monotone-svcomp; lira-convex-hull-pc-lplh.termination-monotone-svcomp]	[lira-convex-hull-pc-lplh.cra-monotone-svcomp; lira-convex-hull-pc-lplh.termination-monotone-svcomp]	[lira-convex-hull-real-relaxation-lw.cra-monotone-svcomp; lira-convex-hull-real-relaxation-lw.termination-monotone-svcomp]	[lira-convex-hull-real-relaxation-lw.cra-monotone-svcomp; lira-convex-hull-real-relaxation-lw.termination-monotone-svcomp]	[lira-convex-hull-real-relaxation-lw.cra-monotone-svcomp; lira-convex-hull-real-relaxation-lw.termination-monotone-svcomp]	[lira-convex-hull-real-relaxation-lw.cra-monotone-svcomp; lira-convex-hull-real-relaxation-lw.termination-monotone-svcomp]	[lira-convex-hull-real-relaxation-fmcad15.cra-monotone-svcomp; lira-convex-hull-real-relaxation-fmcad15.termination-monotone-svcomp]	[lira-convex-hull-real-relaxation-fmcad15.cra-monotone-svcomp; lira-convex-hull-real-relaxation-fmcad15.termination-monotone-svcomp]	[lira-convex-hull-real-relaxation-fmcad15.cra-monotone-svcomp; lira-convex-hull-real-relaxation-fmcad15.termination-monotone-svcomp]	[lira-convex-hull-real-relaxation-fmcad15.cra-monotone-svcomp; lira-convex-hull-real-relaxation-fmcad15.termination-monotone-svcomp]
/home/diagram/src/research/projects/duet/bench-nk-local-abstraction-popl-2025/popl-results/tasks/svcomp-2025/	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)
svcomp2025-cra-monotone-hulls/loops/array-1301af8.i---hull-0.yml	done	0.029117	0.03216709999833256	31.858688	done	0.028821	0.03094301899545826	31.612928	done	0.029228	0.03181780099112075	31.514624	done	0.030381	0.032277837992296554	32.317440
svcomp2025-cra-monotone-hulls/loops/array-1301af8.i---hull-1.yml	done	0.029261	0.03169478601193987	31.588352	done	0.034849	0.0374334359948989	31.817728	done	0.028877	0.03134757198859006	31.514624	done	0.028711	0.031230805994709954	32.055296
svcomp2025-cra-monotone-hulls/loops/array-1301af8.i---hull-2.yml	done	0.032669	0.03445880700019188	31.731712	done	0.029254	0.031244703000993468	31.760384	done	0.029524	0.031606717995600775	31.715328	done	0.048453	0.050312626000959426	32.239616
svcomp2025-cra-monotone-hulls/loops/array-1301af8.i---hull-3.yml	done	0.03546	0.038124974991660565	31.895552	done	0.031688	0.03364789999614004	31.813632	done	0.032214	0.0352386070007924	31.891456	done	0.031094	0.03291054299916141	32.210944
svcomp2025-cra-monotone-hulls/loops/array-1301af8.i---hull-4.yml	done	0.034868	0.03721602998848539	32.018432	done	0.036865	0.038917437006602995	31.838208	done	0.028697	0.03158049799094442	31.903744	done	0.033116	0.0350415600114502	32.366592
svcomp2025-cra-monotone-hulls/loops/array-1301af8.i---hull-5.yml	done	0.029263	0.03205818899732549	31.838208	done	0.027604	0.030137673995341174	31.752192	done	0.030687	0.03284726200217847	31.645696	done	0.031521	0.03388092000386678	32.301056
svcomp2025-cra-monotone-hulls/loops/array-22936b5.i---hull-0.yml	done	0.034525	0.03708523999375757	31.617024	done	0.028793	0.03156378399580717	31.588352	done	0.028759	0.031444672000361606	31.518720	done	0.032672	0.035065556003246456	32.133120
svcomp2025-cra-monotone-hulls/loops/array-22936b5.i---hull-1.yml	done	0.028448	0.031126996997045353	31.850496	done	0.032567	0.034915242009446956	31.588352	done	0.030093	0.03281211300054565	31.580160	done	0.032426	0.03549248700437602	32.243712
svcomp2025-cra-monotone-hulls/loops/array-22936b5.i---hull-2.yml	done	0.028458	0.030962627002736554	32.014336	done	0.02852	0.030937577990698628	31.961088	done	0.032064	0.03512040199711919	31.641600	done	0.030849	0.033108460003859363	32.346112
svcomp2025-cra-monotone-hulls/loops/array-22936b5.i---hull-3.yml	done	0.032103	0.03517094100243412	31.727616	done	0.02791	0.030335396993905306	31.768576	done	0.031145	0.03399931399326306	31.641600	done	0.029657	0.03155203300411813	32.210944
