tool	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0	Projection of integer hull 1.0
run set	[compare-lira-convex-hull-pc-lplh-vs-real-relaxation-lw.cra-monotone-svcomp; compare-lira-convex-hull-pc-lplh-vs-real-relaxation-lw.termination-monotone-svcomp]	[compare-lira-convex-hull-pc-lplh-vs-real-relaxation-lw.cra-monotone-svcomp; compare-lira-convex-hull-pc-lplh-vs-real-relaxation-lw.termination-monotone-svcomp]	[compare-lira-convex-hull-pc-lplh-vs-real-relaxation-lw.cra-monotone-svcomp; compare-lira-convex-hull-pc-lplh-vs-real-relaxation-lw.termination-monotone-svcomp]	[compare-lira-convex-hull-pc-lplh-vs-real-relaxation-lw.cra-monotone-svcomp; compare-lira-convex-hull-pc-lplh-vs-real-relaxation-lw.termination-monotone-svcomp]
/home/diagram/src/research/projects/duet/bench-nk-local-abstraction-popl-2025/popl-results/tasks/svcomp-2025/	status	cputime (s)	walltime (s)	memory (MB)
svcomp2025-cra-monotone-hulls/loops/array-1301af8.i---hull-0.yml	done	0.057377	0.061447618005331606	32.755712
svcomp2025-cra-monotone-hulls/loops/array-1301af8.i---hull-1.yml	done	0.057664	0.06119988800492138	32.505856
svcomp2025-cra-monotone-hulls/loops/array-1301af8.i---hull-2.yml	done	0.067685	0.07136146401171573	32.706560
svcomp2025-cra-monotone-hulls/loops/array-1301af8.i---hull-3.yml	done	0.066145	0.07044709601905197	32.714752
svcomp2025-cra-monotone-hulls/loops/array-1301af8.i---hull-4.yml	done	0.058259	0.06234554201364517	32.571392
svcomp2025-cra-monotone-hulls/loops/array-1301af8.i---hull-5.yml	done	0.058363	0.06248702900484204	32.817152
svcomp2025-cra-monotone-hulls/loops/array-22936b5.i---hull-0.yml	done	0.062478	0.06668358200113289	32.608256
svcomp2025-cra-monotone-hulls/loops/array-22936b5.i---hull-1.yml	done	0.061692	0.06534956299583428	32.636928
svcomp2025-cra-monotone-hulls/loops/array-22936b5.i---hull-2.yml	done	0.056013	0.059815052984049544	32.575488
svcomp2025-cra-monotone-hulls/loops/array-22936b5.i---hull-3.yml	done	0.061745	0.06619089798186906	32.624640
svcomp2025-cra-monotone-hulls/loops/array-22936b5.i---hull-4.yml	done	0.061646	0.06521201500436291	32.563200
svcomp2025-cra-monotone-hulls/loops/array-22936b5.i---hull-5.yml	done	0.063189	0.06720023599336855	32.571392
svcomp2025-cra-monotone-hulls/loops/bubble_sort-17c103a.i---hull-0.yml	done	0.13365	0.1385439209989272	37.044224
svcomp2025-cra-monotone-hulls/loops/bubble_sort-17c103a.i---hull-1.yml	done	0.135815	0.14074003300629556	37.048320
svcomp2025-cra-monotone-hulls/loops/bubble_sort-17c103a.i---hull-10.yml	done	0.080865	0.08480968000367284	33.980416
svcomp2025-cra-monotone-hulls/loops/bubble_sort-17c103a.i---hull-11.yml	done	0.072763	0.07693344299332239	33.857536
svcomp2025-cra-monotone-hulls/loops/bubble_sort-17c103a.i---hull-12.yml	done	0.051892	0.05643252198933624	31.064064
svcomp2025-cra-monotone-hulls/loops/bubble_sort-17c103a.i---hull-13.yml	done	0.050703	0.054455709003377706	31.076352
svcomp2025-cra-monotone-hulls/loops/bubble_sort-17c103a.i---hull-14.yml	done	0.051548	0.05553346700617112	31.252480
svcomp2025-cra-monotone-hulls/loops/bubble_sort-17c103a.i---hull-15.yml	done	0.048872	0.053354252013377845	31.326208
svcomp2025-cra-monotone-hulls/loops/bubble_sort-17c103a.i---hull-16.yml	done	0.048433	0.05249721900327131	31.256576
svcomp2025-cra-monotone-hulls/loops/bubble_sort-17c103a.i---hull-17.yml	done	0.051633	0.055772366002202034	31.064064
svcomp2025-cra-monotone-hulls/loops/bubble_sort-17c103a.i---hull-18.yml	done	0.056506	0.06080216800910421	31.531008
svcomp2025-cra-monotone-hulls/loops/bubble_sort-17c103a.i---hull-19.yml	done	0.055176	0.05952220901963301	31.105024
svcomp2025-cra-monotone-hulls/loops/bubble_sort-17c103a.i---hull-2.yml	done	0.156628	0.1603964070091024	37.769216
svcomp2025-cra-monotone-hulls/loops/bubble_sort-17c103a.i---hull-20.yml	done	0.058167	0.06210550299147144	31.543296
svcomp2025-cra-monotone-hulls/loops/bubble_sort-17c103a.i---hull-21.yml	done	0.048901	0.0525620820117183	31.076352
svcomp2025-cra-monotone-hulls/loops/bubble_sort-17c103a.i---hull-22.yml	done	0.049542	0.053131747990846634	31.072256
